address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
210-220 Verdi St,,"46,000 SF",Farmingdale,"Rental Rate,$13.00 /SF/YR,Rentable Building Area,46,000 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",10/15/2019,16619164,$1.08 SF/Mo,Industrial,"4,100 SF",1 Space,NY,For Lease,Industrial,"[('Farmingdale Station Commuter Rail (Ronkonkoma Branch)', '9 min drive', '3.7 mi'), ('Pinelawn Station Commuter Rail (Ronkonkoma Branch)', '10 min drive', '3.8 mi'), ('Long Island MacArthur Airport', '34 min drive', '23.1 mi'), ('John F. Kennedy International Airport', '32 min drive', '24.8 mi'), ('La Guardia Airport', '41 min drive', '31.9 mi'), ('NY - Red Hook Container Terminal', '46 min drive', '34.5 mi'), ('Pinter Warehouse', '16 min drive', '9.5 mi')]",Heating - Fired Oil
242 Richardson St,Courtyard,"10,000 SF",Brooklyn,"Rental Rate,$22.00 - $25.00 /SF/YR,Rentable Building Area,10,000 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",9/24/2019,16619513,$1.83 - $2.08 SF/Mo,Industrial,"4,000 - 9,000 SF",2 Spaces,NY,For Lease,Industrial,"[('Graham Avenue Transit Stop', '10 min walk', '0.5 mi'), ('Grand Street', '12 min walk', '0.6 mi'), ('Lorimer Street', '13 min walk', '0.7 mi'), ('Nassau Avenue Transit Stop', '(G)', '15 min walk'), ('0.8 mi', 'Metropolitan Avenue Transit Stop', '(G)'), ('16 min walk', '0.8 mi', 'Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)'), ('7 min drive', '2.1 mi', 'Long Island City Station Commuter Rail (Hempstead Branch)'), ('7 min drive', '2.6 mi', 'La Guardia Airport'), ('12 min drive', '6.4 mi', 'John F. Kennedy International Airport'), ('22 min drive', '12.6 mi', 'Newark Liberty International Airport'), ('36 min drive', '15.9 mi', 'NY - Red Hook Container Terminal'), ('11 min drive', '5.7 mi', 'NEW YORK AND ATLANTIC RAILWAY'), ('10 min drive', '4.5 mi')]",
8 Petra Ln,,"16,372 SF",Albany,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,16,372 SF,Property Type,Industrial,Year Built,2006,Property Subtype,Warehouse",7/15/2019,16620531,$0.67 SF/Mo,Industrial,"3,150 SF",1 Space,NY,For Lease,Industrial,,"Water - City Water,Sewer - City Sewer"
95 Guernsey St,,"14,000 SF",Brooklyn,"Rental Rate,$50.00 /SF/YR,Rentable Building Area,14,000 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",7/18/2019,16655566,$4.17 SF/Mo,Industrial,"6,500 SF",1 Space,NY,For Lease,Retail,"[('Nassau Avenue Transit Stop', '4 min walk', '0.2 mi'), ('Greenpoint Avenue Transit Stop', '11 min walk', '0.5 mi'), ('Bedford Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Lorimer Street', '17 min walk', '0.9 mi'), ('Metropolitan Avenue Transit Stop', '20 min walk', '1.0 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '5 min drive', '1.7 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '6 min drive', '2.0 mi'), ('La Guardia Airport', '13 min drive', '6.8 mi'), ('John F. Kennedy International Airport', '23 min drive', '15.3 mi'), ('Newark Liberty International Airport', '35 min drive', '15.7 mi'), ('NY - Red Hook Container Terminal', '11 min drive', '5.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '5.6 mi')]",
49 Railroad Ave,,"16,330 SF",Albany,"Rental Rate,$7.50 /SF/YR,Rentable Building Area,16,330 SF,Property Type,Industrial,Year Built,1957,Property Subtype,Warehouse",7/22/2019,16685270,$0.63 SF/Mo,Industrial,"16,300 SF",1 Space,NY,For Lease,Industrial,"[('Albany International Airport', '15 min drive', '6.6 mi'), ('Albany, NY Port', '19 min drive', '8.9 mi'), ('BULK TRANS-LOADING SERVICE- ALBANY-NY', '6 min drive', '2.0 mi')]",
117 Grattan St,,"125,400 SF",Brooklyn,"Rental Rate,$37.20 - $38.03 /SF/YR,Rentable Building Area,125,400 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",1/24/2020,16665880,$3.10 - $3.17 SF/Mo,Industrial,"475 - 5,760 SF",9 Spaces,NY,For Lease,Office,"[('Morgan Avenue Transit Stop', '5 min walk', '0.2 mi'), ('Jefferson Street Transit Stop', '9 min walk', '0.4 mi'), ('Montrose Avenue Transit Stop', '14 min walk', '0.7 mi'), ('DeKalb Avenue', '15 min walk', '0.7 mi'), ('Central Avenue Transit Stop', '17 min walk', '0.9 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '7 min drive', '3.1 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '8 min drive', '3.5 mi'), ('La Guardia Airport', '14 min drive', '6.9 mi'), ('John F. Kennedy International Airport', '20 min drive', '11.1 mi'), ('Newark Liberty International Airport', '37 min drive', '16.3 mi'), ('NY - Red Hook Container Terminal', '11 min drive', '5.3 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '7 min drive', '2.9 mi')]",Heating - Fired Oil
1005 Greene Ave,,"20,000 SF",Brooklyn,"Rental Rate,$27.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,10,000 SF,Rentable Building Area,20,000 SF,Property Type,Industrial,Year Built,1910",7/23/2019,16692391,$2.25 SF/Mo,Industrial,"10,000 - 20,000 SF",1 Space,NY,For Lease,Industrial,"[('Kosciuszko Street Transit Stop', '5 min walk', '0.2 mi'), ('Gates Avenue Transit Stop', '6 min walk', '0.3 mi'), ('Myrtle Avenue Transit Stop', '13 min walk', '0.7 mi'), ('Central Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Knickerbocker Avenue', '15 min walk', '0.8 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '4 min drive', '1.9 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '7 min drive', '2.9 mi'), ('La Guardia Airport', '16 min drive', '9.0 mi'), ('John F. Kennedy International Airport', '17 min drive', '10.3 mi'), ('Newark Liberty International Airport', '37 min drive', '17.4 mi'), ('NY - Red Hook Container Terminal', '11 min drive', '5.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '7 min drive', '2.7 mi')]",
6 Bay St,,"22,249 SF",Brooklyn,"Rental Rate,$19.00 /SF/YR,Rentable Building Area,22,249 SF,Property Type,Industrial,Year Built,1981,Property Subtype,Warehouse",7/23/2019,16694464,$1.58 SF/Mo,Industrial,"12,000 SF",2 Spaces,NY,For Lease,Office,"[('Smith-9 Streets Transit Stop', '19 min walk', '0.9 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '7 min drive', '2.7 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '9 min drive', '4.2 mi'), ('La Guardia Airport', '22 min drive', '12.8 mi'), ('John F. Kennedy International Airport', '26 min drive', '15.0 mi'), ('Newark Liberty International Airport', '35 min drive', '16.1 mi'), ('NY - Red Hook Container Terminal', '4 min drive', '1.1 mi'), ('PORT OF NEW YORK AND NEW JERSEY', '3 min drive', '1.2 mi')]",
47-32 Austell Pl,24 Hour Access,"100,000 SF",Long Island City,"Rental Rate,$25.00 /SF/YR,Rentable Building Area,100,000 SF,Property Type,Industrial,Year Built,1916,Property Subtype,Warehouse",1/16/2020,16701269,$2.08 SF/Mo,Industrial,"10,000 - 22,500 SF",2 Spaces,NY,For Lease,Industrial,"[('Hunters Point Avenue Transit Stop', '9 min walk', '0.4 mi'), ('21 Street Transit Stop', '13 min walk', '0.6 mi'), ('Long Island City-Court Square Transit Stop', '13 min walk', '0.7 mi'), ('45 Road-Court House Square Transit Stop', '16 min walk', '0.8 mi'), ('Court Square - 23rd Street Transit Stop', '16 min walk', '0.8 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '8 min walk', '0.4 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '20 min walk', '1.0 mi'), ('La Guardia Airport', '11 min drive', '5.6 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.4 mi'), ('Newark Liberty International Airport', '34 min drive', '18.3 mi'), ('NY - Red Hook Container Terminal', '15 min drive', '8.0 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '5.3 mi')]",Heating - Gas
3657 36th St,,"7,500 SF",Long Island City,"Rental Rate,$15.50 /SF/YR,Rentable Building Area,7,500 SF,Property Type,Industrial,Year Built,1930,Property Subtype,Warehouse",7/24/2019,16706030,$1.29 SF/Mo,Industrial,"3,500 SF",1 Space,NY,For Lease,Flex,"[('36 Street', '3 min walk', '0.1 mi'), ('36 Avenue Transit Stop', '8 min walk', '0.4 mi'), ('39 Avenue Transit Stop', '8 min walk', '0.4 mi'), ('Steinway Street Transit Stop', '(E, G, M, R)', '12 min walk'), ('0.6 mi', 'Broadway', '16 min walk'), ('0.8 mi', 'Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '4 min drive'), ('1.6 mi', 'Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '5 min drive'), ('2.1 mi', 'La Guardia Airport', '9 min drive'), ('4.0 mi', 'John F. Kennedy International Airport', '22 min drive'), ('15.1 mi', 'Newark Liberty International Airport', '35 min drive'), ('19.3 mi', 'NY - Red Hook Container Terminal', '16 min drive'), ('8.9 mi', 'NEW YORK AND ATLANTIC RAILWAY', '13 min drive'), ('6.2 mi',)]","Lighting,Gas,Water,Sewer,Heating"
37 Elkay Dr,,"22,500 SF",Chester,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,22,500 SF,Min. Divisible,2,500 SF,Year Built,2003,Property Type,Industrial,Cross Streets,Black Meadow Rd,Property Subtype,Warehouse",7/29/2019,16752542,$0.67 SF/Mo,Industrial,"2,500 - 17,500 SF",1 Space,NY,For Lease,Industrial,"[('Stewart International Airport', '36 min drive', '17.2 mi'), ('Port Newark Container Terminal', '83 min drive', '61.5 mi'), ('NS INDEPENDENT BULK TRANSFER TERMINAL-PATTERSON-NJ', '57 min drive', '42.7 mi')]",
115 Bi-County Blvd,,"37,250 SF",Farmingdale,"Rental Rate,$9.50 /SF/YR,Rentable Building Area,37,250 SF,Property Type,Industrial,Year Built,1990,Property Subtype,Warehouse",1/2/2020,16765304,$0.79 SF/Mo,Industrial,"24,755 SF",1 Space,NY,For Lease,Industrial,"[('Farmingdale Station Commuter Rail (Ronkonkoma Branch)', '5 min drive', '1.9 mi'), ('Pinelawn Station Commuter Rail (Ronkonkoma Branch)', '7 min drive', '2.5 mi'), ('Long Island MacArthur Airport', '31 min drive', '22.6 mi'), ('John F. Kennedy International Airport', '31 min drive', '24.9 mi'), ('La Guardia Airport', '40 min drive', '31.9 mi'), ('NY - Red Hook Container Terminal', '45 min drive', '34.6 mi'), ('Pinter Warehouse', '13 min drive', '8.9 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
2921 Brighton Henrietta Town L Rd,,"130,000 SF",Rochester,"Rental Rate,$5.95 /SF/YR,Rentable Building Area,130,000 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",7/30/2019,16765452,$0.50 SF/Mo,Industrial,"52,140 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '11 min drive', '5.2 mi'), ('Albany, NY Port', '265 min drive', '223.3 mi'), ('J. MacKenzie Limited', '10 min drive', '3.4 mi')]",
511-523 Commack Rd,Fenced Lot,"87,000 SF",Deer Park,"Rental Rate,$25.00 /SF/YR,Rentable Building Area,87,000 SF,Property Type,Industrial,Year Built/Renovated,1976/2004,Property Subtype,Warehouse",7/30/2019,16765817,$2.08 SF/Mo,Industrial,"2,000 SF",1 Space,NY,For Lease,Retail,"[('Deer Park Station Commuter Rail (Ronkonkoma Branch)', '4 min drive', '1.4 mi'), ('Wyandanch Station Commuter Rail (Ronkonkoma Branch)', '8 min drive', '2.8 mi')]",Heating - Fired Oil
73 Bridge St,,"57,269 SF",Newburgh,"Rental Rate,$8.50 /SF/YR,Rentable Building Area,57,269 SF,Property Type,Industrial,Year Built,1956,Property Subtype,Warehouse",7/31/2019,16777631,$0.71 SF/Mo,Industrial,"13,000 SF",1 Space,NY,For Lease,Industrial,"[('Beacon Station Commuter Rail (Hudson Line)', '11 min drive', '5.5 mi'), ('Stewart International Airport', '15 min drive', '6.7 mi'), ('NY - Red Hook Container Terminal', '94 min drive', '70.0 mi'), (""Shepard'S Incorporated"", '58 min drive', '43.0 mi')]",
22 N Broad St,,"24,449 SF",Johnson City,"Rental Rate,$5.00 - $6.50 /SF/YR,Rentable Building Area,24,449 SF,Property Type,Industrial,Year Built,1977,Property Subtype,Warehouse",7/31/2019,16775650,$0.42 - $0.54 SF/Mo,Industrial,"2,800 - 7,800 SF",2 Spaces,NY,For Lease,"Flex, Industrial","[('Greater Binghamtonl-Edwin A. Link Field Airport', '21 min drive', '8.9 mi'), ('Albany, NY Port', '172 min drive', '142.5 mi'), ('NS CONNECTING LINE BULK TRANSFER TERMINAL-UTICA-NY', '87 min drive', '61.6 mi')]",
58-38 59th St,"24 Hour Access,Bus Line,Property Manager on Site,Security System,Signage,Roof Terrace,Storage Space,Fluorescent Lighting,Air Conditioning","13,692 SF",Maspeth,"Rental Rate,$20.00 /SF/YR,Rentable Building Area,13,692 SF,Property Type,Industrial,Year Built,2010,Property Subtype,Warehouse",8/1/2019,16784583,$1.67 SF/Mo,Industrial,"5,000 SF",1 Space,NY,For Lease,Industrial,"[('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '6 min drive', '2.2 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '7 min drive', '3.0 mi'), ('La Guardia Airport', '11 min drive', '5.4 mi'), ('John F. Kennedy International Airport', '18 min drive', '12.2 mi'), ('Newark Liberty International Airport', '37 min drive', '17.2 mi'), ('NY - Red Hook Container Terminal', '14 min drive', '7.1 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '6 min drive', '2.4 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
990 Station Rd,Fenced Lot,"30,000 SF",Bellport,"Rental Rate,$9.95 /SF/YR,Rentable Building Area,30,000 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",8/5/2019,16822072,$0.83 SF/Mo,Industrial,"30,000 SF",1 Space,NY,For Lease,Industrial,"[('Bellport Station Commuter Rail (Montauk Branch)', '4 min drive', '1.6 mi'), ('Yaphank Station Commuter Rail (Greenport Branch)', '9 min drive', '4.4 mi'), ('Long Island MacArthur Airport', '16 min drive', '9.6 mi'), ('NY - Red Hook Container Terminal', '76 min drive', '60.8 mi'), ('Pinter Warehouse', '32 min drive', '22.3 mi')]",Heating - Fired Oil
200 Fulton Ave,Property Manager on Site,"22,540 SF",Garden City Park,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,22,540 SF,Property Type,Industrial,Year Built/Renovated,1960/2019,Property Subtype,Warehouse",9/12/2018,16831405,$1.50 SF/Mo,Industrial,"8,500 SF",1 Space,NY,For Lease,Industrial,"[('Merillon Avenue Station Commuter Rail (Port Jefferson Branch)', '8 min walk', '0.4 mi'), ('Mineola Station Commuter Rail (Ronkonkoma Branch, Oyster Bay Branch, Port Jefferson Branch)', '4 min drive', '1.2 mi'), ('John F. Kennedy International Airport', '20 min drive', '13.8 mi'), ('La Guardia Airport', '24 min drive', '15.1 mi'), ('Westchester County Airport', '54 min drive', '36.4 mi'), ('NY - Red Hook Container Terminal', '34 min drive', '21.4 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '23 min drive', '13.8 mi')]","Gas,Water - City Water,Sewer - City Sewer"
246 Seigel St,"Conferencing Facility,Fenced Lot,Air Conditioning","12,500 SF",Brooklyn,"Rental Rate,$22.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,2,500 SF,Rentable Building Area,12,500 SF,Property Type,Industrial,Year Built,1989",2/5/2020,16841531,$1.83 SF/Mo,Industrial,"2,500 - 12,000 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('Morgan Avenue Transit Stop', '4 min walk', '0.2 mi'), ('Montrose Avenue Transit Stop', '8 min walk', '0.4 mi'), ('Flushing Avenue', '12 min walk', '0.6 mi'), ('Myrtle Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Grand Street', '14 min walk', '0.7 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '7 min drive', '3.0 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '9 min drive', '3.7 mi'), ('La Guardia Airport', '14 min drive', '7.8 mi'), ('John F. Kennedy International Airport', '21 min drive', '11.9 mi'), ('Newark Liberty International Airport', '36 min drive', '16.0 mi'), ('NY - Red Hook Container Terminal', '11 min drive', '5.3 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.2 mi')]",
95 Hoffman Ln,"Bus Line,Commuter Rail,Courtyard,Signage,Fluorescent Lighting,Air Conditioning","90,756 SF",Islandia,"Rental Rate,$11.50 /SF/YR,Rentable Building Area,90,756 SF,Property Type,Industrial,Year Built,1973,Property Subtype,Warehouse",8/8/2019,16856791,$0.96 SF/Mo,Industrial,"4,000 SF",1 Space,NY,For Lease,Industrial,"[('Central Islip Station Commuter Rail (Ronkonkoma Branch)', '6 min drive', '2.5 mi'), ('Brentwood Station Commuter Rail (Ronkonkoma Branch)', '10 min drive', '4.3 mi'), ('Long Island MacArthur Airport', '12 min drive', '5.7 mi'), ('NY - Red Hook Container Terminal', '66 min drive', '50.9 mi'), ('Pinter Warehouse', '18 min drive', '10.2 mi')]",Heating - Gas
601 Harris Rd,,"9,000 SF",Ferndale,"Rental Rate,$5.00 /SF/YR,Rentable Building Area,9,000 SF,Property Type,Industrial,Year Built,1922,Property Subtype,Warehouse",8/9/2019,16871385,$0.42 SF/Mo,Industrial,"9,000 SF",1 Space,NY,For Lease,Industrial,,
4472 Steelway Blvd N,,"372,500 SF",Liverpool,"Rental Rate,$3.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,51,967 SF,Rentable Building Area,372,500 SF,Property Type,Industrial,Year Built,1977",8/12/2019,16891115,$0.29 SF/Mo,Industrial,"51,967 - 117,329 SF",1 Space,NY,For Lease,Industrial,"[('Syracuse Hancock International Airport', '17 min drive', '7.1 mi'), ('Albany, NY Port', '178 min drive', '148.7 mi'), ('BNSF-SYRACUSE-NY', '21 min drive', '11.0 mi')]","Lighting,Gas,Heating"
1545 Lincoln Ave,"Signage,Air Conditioning","30,000 SF",Holbrook,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,30,000 SF,Property Type,Industrial,Year Built,1988,Property Subtype,Warehouse",8/12/2019,16891902,$1.00 SF/Mo,Industrial,"2,500 SF",1 Space,NY,For Lease,Industrial,"[('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '7 min drive', '2.7 mi'), ('Sayville Station Commuter Rail (Montauk Branch)', '10 min drive', '3.8 mi')]",Heating - Gas
41 Keyland Ct,Signage,"15,000 SF",Bohemia,"Rental Rate,$11.50 /SF/YR,Rentable Building Area,15,000 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",8/13/2019,16905615,$0.96 SF/Mo,Industrial,"7,500 SF",1 Space,NY,For Lease,Industrial,"[('Sayville Station Commuter Rail (Montauk Branch)', '7 min drive', '2.9 mi'), ('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '8 min drive', '3.3 mi'), ('Long Island MacArthur Airport', '4 min drive', '1.4 mi'), ('NY - Red Hook Container Terminal', '67 min drive', '53.7 mi'), ('Pinter Warehouse', '23 min drive', '15.2 mi')]",
429 E 164th St,"Courtyard,Fenced Lot,Skylights,Storage Space","24,120 SF",Bronx,"Rental Rate,$15.00 /SF/YR,Property Subtype,Warehouse,Property Type,Industrial,Rentable Building Area,24,120 SF",11/14/2016,16914180,$1.25 SF/Mo,Industrial,"8,000 - 24,120 SF",2 Spaces,NY,For Lease,Industrial,"[('167 Street', '17 min walk', '0.8 mi'), ('Prospect Avenue', '17 min walk', '0.9 mi'), ('3 Avenue-149 Street Transit Stop', '18 min walk', '0.9 mi'), ('161 Street-Yankee Stadium Transit Stop', '19 min walk', '1.0 mi'), ('Jackson Avenue Transit Stop', '19 min walk', '1.0 mi'), ('Melrose Station Commuter Rail (Harlem Line)', '7 min walk', '0.4 mi'), ('Yankees-E 153rd Street Station Commuter Rail (Hudson Line)', '6 min drive', '2.8 mi'), ('La Guardia Airport', '16 min drive', '8.3 mi'), ('John F. Kennedy International Airport', '28 min drive', '19.3 mi'), ('Newark Liberty International Airport', '40 min drive', '25.0 mi'), ('NY - Red Hook Container Terminal', '24 min drive', '14.3 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '17 min drive', '10.5 mi')]","Lighting,Gas,Water,Sewer,Heating"
153-63 Rockaway Blvd,,"23,172 SF",Jamaica,"Rental Rate,$21.50 /SF/YR,Rentable Building Area,23,172 SF,Property Type,Industrial,Year Built,1984,Property Subtype,Warehouse",8/14/2019,16914965,$1.79 SF/Mo,Industrial,"23,172 SF",1 Space,NY,For Lease,Industrial,"[('Locust Manor Station Commuter Rail (Far Rockaway Branch)', '4 min drive', '1.6 mi'), ('Laurelton Station Commuter Rail (Far Rockaway Branch)', '4 min drive', '2.0 mi'), ('John F. Kennedy International Airport', '6 min drive', '3.2 mi'), ('La Guardia Airport', '14 min drive', '9.7 mi'), ('Newark Liberty International Airport', '49 min drive', '25.8 mi'), ('NY - Red Hook Container Terminal', '21 min drive', '12.8 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '14 min drive', '7.3 mi')]",Heating - Gas
